id,kecamatan,varietas,jenis_tanah,tekstur,luas_lahan,curah_hujan,suhu,total_n_dasar,total_p_dasar,total_k_dasar,umur_hst,fase_tanaman,ph,n_ppm,p_ppm,k_ppm,status_hara,rekomendasi_tindakan,dosis_urea_susulan,dosis_sp36_susulan,dosis_kcl_susulan,total_umur_panen,hasil_panen_estimasi,sisa_hari_panen
132,Tondano Selatan,Bisi 2,Latosol,Lempung Berpasir,1.0,208,28,15.0,15.0,15.0,53,Vegetatif Aktif,5.5,21,26,21,Seimbang,Pertahankan Kondisi,0,0,0,115,5.8,62
133,Kauditan,Pertiwi,Andosol,Lempung,0.6,248,31,23.0,0.0,0.0,67,Generatif,5.8,29,20,17,Defisiensi_K,Tambah KCl Susulan III,0,0,75,105,6.8,38
134,Airmadidi,Pioneer Sweet Corn,Latosol,Lempung,1.6,190,28,38.0,15.0,15.0,62,Generatif,5.9,26,26,26,Seimbang,Pertahankan Kondisi,0,0,0,90,6.9,28
135,Kauditan,Bisi 2,Regosol,Pasir,0.9,162,31,0.0,0.0,0.0,46,Vegetatif Aktif,6.6,23,16,18,Seimbang,Pertahankan Kondisi,0,0,0,115,4.9,69
136,Kauditan,Pertiwi,Andosol,Pasir,2.5,150,28,0.0,0.0,0.0,18,Vegetatif Awal,5.5,10,18,22,Defisiensi_N,Tambah Urea Susulan I,100,0,0,105,5.8,87
137,Tondano Selatan,Bisi 2,Latosol,Lempung Berpasir,2.2,176,27,38.0,15.0,15.0,77,Generatif,6.4,25,21,24,Seimbang,Pertahankan Kondisi,0,0,0,115,6.7,38
138,Langowan,NK Perkasa,Regosol,Lempung Berpasir,1.9,236,26,23.0,0.0,0.0,40,Vegetatif Aktif,6.4,23,12,19,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,110,6.0,70
139,Tondano Selatan,Bisi 2,Regosol,Lempung Berpasir,1.3,203,29,0.0,0.0,0.0,27,Vegetatif Aktif,6.5,17,14,12,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,115,5.1,88
140,Sonder,Pioneer Sweet Corn,Latosol,Lempung,2.5,211,26,15.0,15.0,15.0,66,Generatif,6.0,19,17,18,Seimbang,Pertahankan Kondisi,0,0,0,90,5.8,24
141,Kauditan,Pioneer Sweet Corn,Latosol,Lempung Berpasir,2.9,206,31,23.0,0.0,0.0,29,Vegetatif Aktif,6.6,16,12,19,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,90,5.9,61
142,Tondano Selatan,Pertiwi,Andosol,Lempung,0.8,191,30,15.0,15.0,15.0,21,Vegetatif Awal,6.6,25,14,14,Seimbang,Pertahankan Kondisi,0,0,0,105,6.7,84
143,Langowan,Bisi 2,Regosol,Pasir,2.5,216,29,23.0,0.0,0.0,35,Vegetatif Aktif,6.2,22,15,22,Seimbang,Pertahankan Kondisi,0,0,0,115,5.9,80
144,Tomohon,NK Perkasa,Regosol,Pasir,2.7,173,27,38.0,15.0,15.0,19,Vegetatif Awal,6.5,27,25,22,Seimbang,Pertahankan Kondisi,0,0,0,110,6.9,91
145,Langowan,Bisi 2,Regosol,Pasir,0.7,244,30,38.0,15.0,15.0,68,Generatif,6.3,31,17,19,Seimbang,Pertahankan Kondisi,0,0,0,115,6.8,47
146,Sonder,NK Perkasa,Regosol,Lempung Berpasir,1.9,213,31,38.0,15.0,15.0,25,Vegetatif Awal,6.7,25,17,23,Seimbang,Pertahankan Kondisi,0,0,0,110,6.8,85
147,Langowan,Bisi 2,Regosol,Pasir,2.9,243,28,38.0,15.0,15.0,75,Generatif,5.9,27,18,16,Defisiensi_K,Tambah KCl Susulan III,0,0,75,115,6.8,40
148,Tombulu,NK Perkasa,Regosol,Pasir,0.6,226,27,38.0,15.0,15.0,49,Vegetatif Aktif,6.2,32,20,24,Seimbang,Pertahankan Kondisi,0,0,0,110,6.9,61
149,Kauditan,Pertiwi,Andosol,Lempung,2.3,166,29,23.0,0.0,0.0,41,Vegetatif Aktif,6.1,22,14,11,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,105,6.7,64
150,Kauditan,NK Perkasa,Regosol,Pasir,1.9,155,27,15.0,15.0,15.0,73,Generatif,6.1,27,25,16,Defisiensi_K,Tambah KCl Susulan III,0,0,75,110,5.9,37
151,Kauditan,Pertiwi,Andosol,Lempung,1.1,237,29,15.0,15.0,15.0,17,Vegetatif Awal,6.1,25,17,18,Seimbang,Pertahankan Kondisi,0,0,0,105,6.8,88
152,Langowan,Pioneer Sweet Corn,Latosol,Lempung Berpasir,2.4,198,27,23.0,0.0,0.0,60,Generatif,6.0,17,12,15,Defisiensi_K,Tambah KCl Susulan III,0,0,75,90,5.9,30
153,Tondano Selatan,Bisi 2,Latosol,Lempung,2.5,207,30,15.0,15.0,15.0,71,Generatif,6.0,25,20,19,Seimbang,Pertahankan Kondisi,0,0,0,115,5.9,44
154,Tomohon,NK Perkasa,Andosol,Pasir,2.2,245,26,15.0,15.0,15.0,81,Generatif,5.6,27,15,25,Seimbang,Pertahankan Kondisi,0,0,0,110,6.7,29
155,Airmadidi,Pioneer Sweet Corn,Latosol,Lempung,0.9,248,31,15.0,15.0,15.0,45,Vegetatif Aktif,6.6,23,23,23,Seimbang,Pertahankan Kondisi,0,0,0,90,5.8,45
156,Tombulu,Pioneer Sweet Corn,Latosol,Lempung,2.5,182,27,23.0,0.0,0.0,48,Vegetatif Aktif,6.4,18,13,15,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,90,5.9,42
157,Tombulu,Bisi 2,Regosol,Pasir,0.8,222,29,38.0,15.0,15.0,50,Vegetatif Aktif,6.4,35,25,23,Seimbang,Pertahankan Kondisi,0,0,0,115,6.8,65
158,Kauditan,NK Perkasa,Regosol,Pasir,2.6,195,29,15.0,15.0,15.0,13,Vegetatif Awal,6.6,19,26,22,Defisiensi_N,Tambah Urea Susulan I,100,0,0,110,5.9,97
159,Sonder,Pioneer Sweet Corn,Latosol,Lempung Berpasir,1.1,214,31,0.0,0.0,0.0,64,Generatif,6.4,16,12,10,Defisiensi_K,Tambah KCl Susulan III,0,0,75,90,4.9,26
160,Langowan,NK Perkasa,Regosol,Lempung Berpasir,2.8,178,27,15.0,15.0,15.0,16,Vegetatif Awal,6.7,16,15,21,Defisiensi_N,Tambah Urea Susulan I,100,0,0,110,5.8,94
161,Tomohon,Bisi 2,Regosol,Lempung Berpasir,1.7,192,29,0.0,0.0,0.0,35,Vegetatif Aktif,5.8,13,8,17,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,115,4.9,80
162,Tondano Selatan,Bisi 2,Latosol,Lempung Berpasir,2.6,192,26,38.0,15.0,15.0,19,Vegetatif Awal,6.2,25,17,23,Seimbang,Pertahankan Kondisi,0,0,0,115,6.8,96
163,Kauditan,Pioneer Sweet Corn,Latosol,Lempung,0.9,192,30,38.0,15.0,15.0,50,Vegetatif Aktif,5.7,24,26,23,Seimbang,Pertahankan Kondisi,0,0,0,90,6.8,40
164,Airmadidi,Pioneer Sweet Corn,Latosol,Lempung,2.8,185,28,23.0,0.0,0.0,49,Vegetatif Aktif,6.7,18,17,22,Seimbang,Pertahankan Kondisi,0,0,0,90,6.0,41
165,Sonder,Pioneer Sweet Corn,Latosol,Lempung,2.0,223,26,0.0,0.0,0.0,24,Vegetatif Awal,5.8,14,8,12,Defisiensi_N,Tambah Urea Susulan I,100,0,0,90,5.1,66
166,Langowan,Pertiwi,Andosol,Lempung,0.8,180,30,38.0,15.0,15.0,27,Vegetatif Aktif,6.7,36,22,22,Seimbang,Pertahankan Kondisi,0,0,0,105,7.5,78
167,Sonder,NK Perkasa,Andosol,Lempung,2.3,195,29,15.0,15.0,15.0,72,Generatif,5.9,26,20,19,Seimbang,Pertahankan Kondisi,0,0,0,110,6.6,38
168,Tomohon,NK Perkasa,Andosol,Pasir,0.8,209,27,15.0,15.0,15.0,26,Vegetatif Aktif,6.4,20,23,21,Seimbang,Pertahankan Kondisi,0,0,0,110,6.7,84
169,Tondano Selatan,Bisi 2,Latosol,Lempung,1.4,233,29,38.0,15.0,15.0,52,Vegetatif Aktif,5.5,25,19,23,Seimbang,Pertahankan Kondisi,0,0,0,115,6.8,63
170,Kauditan,Pertiwi,Andosol,Lempung,1.1,150,29,15.0,15.0,15.0,55,Vegetatif Aktif,6.2,26,26,16,Seimbang,Pertahankan Kondisi,0,0,0,105,6.6,50
171,Tondano Utara,Bisi 2,Latosol,Lempung,2.2,204,27,23.0,0.0,0.0,52,Vegetatif Aktif,6.7,31,17,12,Seimbang,Pertahankan Kondisi,0,0,0,115,6.0,63
172,Tondano Utara,Bisi 2,Latosol,Lempung,3.0,249,27,0.0,0.0,0.0,23,Vegetatif Awal,6.7,14,20,16,Defisiensi_N,Tambah Urea Susulan I,100,0,0,115,5.0,92
173,Airmadidi,Bisi 2,Regosol,Pasir,1.1,153,28,0.0,0.0,0.0,46,Vegetatif Aktif,6.7,24,20,17,Seimbang,Pertahankan Kondisi,0,0,0,115,5.0,69
174,Tomohon,NK Perkasa,Regosol,Pasir,2.8,170,29,15.0,15.0,15.0,17,Vegetatif Awal,5.8,20,17,22,Seimbang,Pertahankan Kondisi,0,0,0,110,6.0,93
175,Kauditan,Bisi 2,Regosol,Lempung Berpasir,0.8,161,30,0.0,0.0,0.0,52,Vegetatif Aktif,6.8,24,11,20,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,115,5.1,63
176,Sonder,NK Perkasa,Andosol,Lempung,2.8,188,26,38.0,15.0,15.0,84,Generatif,6.1,22,14,23,Seimbang,Pertahankan Kondisi,0,0,0,110,7.6,26
177,Langowan,Bisi 2,Regosol,Lempung Berpasir,1.7,165,31,38.0,15.0,15.0,83,Generatif,6.3,34,17,21,Seimbang,Pertahankan Kondisi,0,0,0,115,6.7,32
178,Tombulu,Pioneer Sweet Corn,Latosol,Lempung,2.3,173,31,38.0,15.0,15.0,34,Vegetatif Aktif,6.0,32,20,22,Seimbang,Pertahankan Kondisi,0,0,0,90,6.8,56
179,Tombulu,Bisi 2,Regosol,Pasir,1.6,246,26,0.0,0.0,0.0,11,Vegetatif Awal,6.3,23,16,22,Seimbang,Pertahankan Kondisi,0,0,0,115,5.0,104
180,Langowan,NK Perkasa,Regosol,Pasir,1.0,205,31,15.0,15.0,15.0,14,Vegetatif Awal,6.0,27,17,19,Seimbang,Pertahankan Kondisi,0,0,0,110,5.9,96
181,Airmadidi,Pioneer Sweet Corn,Latosol,Lempung Berpasir,1.7,203,29,38.0,15.0,15.0,23,Vegetatif Awal,5.6,29,18,20,Seimbang,Pertahankan Kondisi,0,0,0,90,6.9,67
182,Tondano Utara,NK Perkasa,Regosol,Lempung Berpasir,2.9,242,28,0.0,0.0,0.0,79,Generatif,6.0,17,20,13,Defisiensi_K,Tambah KCl Susulan III,0,0,75,110,5.0,31
183,Tombulu,Pioneer Sweet Corn,Latosol,Lempung Berpasir,0.9,225,29,38.0,15.0,15.0,28,Vegetatif Aktif,5.7,21,20,20,Seimbang,Pertahankan Kondisi,0,0,0,90,6.9,62
184,Tondano Selatan,Pertiwi,Andosol,Lempung,0.9,197,27,0.0,0.0,0.0,67,Generatif,6.6,21,8,18,Seimbang,Pertahankan Kondisi,0,0,0,105,5.7,38
185,Kauditan,Pertiwi,Andosol,Pasir,2.4,225,30,38.0,15.0,15.0,68,Generatif,6.1,30,14,15,Defisiensi_K,Tambah KCl Susulan III,0,0,75,105,7.6,37
186,Sonder,Pioneer Sweet Corn,Latosol,Lempung,2.5,173,27,15.0,15.0,15.0,53,Vegetatif Aktif,6.5,18,19,24,Seimbang,Pertahankan Kondisi,0,0,0,90,5.9,37
187,Tomohon,Pioneer Sweet Corn,Latosol,Lempung,2.2,151,31,0.0,0.0,0.0,60,Generatif,5.6,18,8,16,Defisiensi_K,Tambah KCl Susulan III,0,0,75,90,5.1,30
188,Tomohon,NK Perkasa,Regosol,Lempung Berpasir,0.9,234,28,23.0,0.0,0.0,23,Vegetatif Awal,6.0,19,20,14,Defisiensi_N,Tambah Urea Susulan I,100,0,0,110,5.9,87
189,Tombulu,Bisi 2,Regosol,Pasir,1.6,150,31,38.0,15.0,15.0,63,Generatif,6.4,29,24,15,Defisiensi_K,Tambah KCl Susulan III,0,0,75,115,6.8,52
190,Langowan,Pertiwi,Andosol,Pasir,1.0,217,29,0.0,0.0,0.0,26,Vegetatif Aktif,6.6,22,15,10,Seimbang,Pertahankan Kondisi,0,0,0,105,5.8,79
191,Tombulu,Pioneer Sweet Corn,Latosol,Lempung,1.2,239,31,0.0,0.0,0.0,19,Vegetatif Awal,6.6,22,20,10,Seimbang,Pertahankan Kondisi,0,0,0,90,5.0,71
192,Tondano Selatan,Pertiwi,Andosol,Lempung,2.3,201,28,0.0,0.0,0.0,66,Generatif,6.5,16,17,22,Seimbang,Pertahankan Kondisi,0,0,0,105,5.8,39
193,Tomohon,Pioneer Sweet Corn,Latosol,Lempung,2.3,241,29,38.0,15.0,15.0,59,Generatif,6.2,36,24,15,Defisiensi_K,Tambah KCl Susulan III,0,0,75,90,6.8,31
194,Tondano Selatan,NK Perkasa,Regosol,Pasir,1.3,220,29,23.0,0.0,0.0,62,Generatif,6.6,31,10,22,Seimbang,Pertahankan Kondisi,0,0,0,110,6.0,48
195,Tomohon,Pioneer Sweet Corn,Latosol,Lempung Berpasir,1.6,150,27,38.0,15.0,15.0,38,Vegetatif Aktif,5.6,31,23,24,Seimbang,Pertahankan Kondisi,0,0,0,90,6.8,52
196,Langowan,Pioneer Sweet Corn,Latosol,Lempung,2.5,154,31,0.0,0.0,0.0,78,Generatif,6.7,20,10,16,Defisiensi_K,Tambah KCl Susulan III,0,0,75,90,5.1,12
197,Langowan,Bisi 2,Regosol,Lempung Berpasir,0.8,220,28,23.0,0.0,0.0,63,Generatif,5.8,25,10,13,Defisiensi_K,Tambah KCl Susulan III,0,0,75,115,5.9,52
198,Tondano Selatan,Pertiwi,Andosol,Lempung,1.3,193,31,0.0,0.0,0.0,71,Generatif,6.7,22,8,12,Defisiensi_K,Tambah KCl Susulan III,0,0,75,105,5.7,34
199,Kauditan,Bisi 2,Regosol,Pasir,2.7,197,28,38.0,15.0,15.0,22,Vegetatif Awal,5.8,29,23,21,Seimbang,Pertahankan Kondisi,0,0,0,115,6.9,93
200,Tombulu,NK Perkasa,Regosol,Pasir,3.0,224,31,38.0,15.0,15.0,43,Vegetatif Aktif,6.3,33,23,18,Seimbang,Pertahankan Kondisi,0,0,0,110,6.9,67
201,Tondano Selatan,Bisi 2,Regosol,Pasir,1.9,235,31,23.0,0.0,0.0,29,Vegetatif Aktif,6.7,30,16,20,Seimbang,Pertahankan Kondisi,0,0,0,115,6.0,86
202,Langowan,Pioneer Sweet Corn,Latosol,Lempung Berpasir,2.6,178,30,0.0,0.0,0.0,10,Vegetatif Awal,6.6,19,19,17,Defisiensi_N,Tambah Urea Susulan I,100,0,0,90,5.1,80
203,Airmadidi,Bisi 2,Regosol,Lempung Berpasir,0.9,173,27,0.0,0.0,0.0,46,Vegetatif Aktif,5.8,14,16,17,Seimbang,Pertahankan Kondisi,0,0,0,115,5.1,69
204,Tondano Selatan,Bisi 2,Latosol,Lempung,2.3,225,31,15.0,15.0,15.0,31,Vegetatif Aktif,5.5,26,25,17,Seimbang,Pertahankan Kondisi,0,0,0,115,5.8,84
205,Langowan,Pertiwi,Andosol,Pasir,2.7,160,30,15.0,15.0,15.0,13,Vegetatif Awal,6.0,19,25,20,Defisiensi_N,Tambah Urea Susulan I,100,0,0,105,6.7,92
206,Langowan,NK Perkasa,Regosol,Lempung Berpasir,0.6,152,26,23.0,0.0,0.0,75,Generatif,6.3,27,18,17,Defisiensi_K,Tambah KCl Susulan III,0,0,75,110,5.9,35
207,Langowan,Pioneer Sweet Corn,Latosol,Lempung,1.1,191,31,15.0,15.0,15.0,18,Vegetatif Awal,5.5,26,16,14,Seimbang,Pertahankan Kondisi,0,0,0,90,5.9,72
208,Sonder,Pioneer Sweet Corn,Latosol,Lempung,1.7,240,31,0.0,0.0,0.0,84,Generatif,5.9,15,18,20,Seimbang,Pertahankan Kondisi,0,0,0,90,4.9,6
209,Sonder,Pioneer Sweet Corn,Latosol,Lempung,3.0,214,31,38.0,15.0,15.0,75,Generatif,5.9,34,20,18,Seimbang,Pertahankan Kondisi,0,0,0,90,6.8,15
210,Kauditan,Pertiwi,Andosol,Lempung,0.8,225,31,38.0,15.0,15.0,15,Vegetatif Awal,6.6,27,23,19,Seimbang,Pertahankan Kondisi,0,0,0,105,7.7,90
211,Tondano Selatan,Pertiwi,Andosol,Pasir,1.2,189,31,38.0,15.0,15.0,29,Vegetatif Aktif,6.6,31,25,24,Seimbang,Pertahankan Kondisi,0,0,0,105,7.6,76
212,Tombulu,NK Perkasa,Regosol,Pasir,1.9,211,31,15.0,15.0,15.0,63,Generatif,6.4,15,20,23,Seimbang,Pertahankan Kondisi,0,0,0,110,6.0,47
213,Airmadidi,NK Perkasa,Andosol,Lempung,1.0,174,26,0.0,0.0,0.0,63,Generatif,5.7,10,16,14,Defisiensi_K,Tambah KCl Susulan III,0,0,75,110,5.8,47
214,Kauditan,NK Perkasa,Regosol,Lempung Berpasir,1.9,152,28,15.0,15.0,15.0,53,Vegetatif Aktif,5.6,26,24,24,Seimbang,Pertahankan Kondisi,0,0,0,110,5.9,57
215,Tondano Selatan,Pertiwi,Andosol,Pasir,1.4,227,31,15.0,15.0,15.0,74,Generatif,5.7,22,18,26,Seimbang,Pertahankan Kondisi,0,0,0,105,6.8,31
216,Tondano Selatan,NK Perkasa,Regosol,Lempung Berpasir,0.6,198,26,15.0,15.0,15.0,85,Generatif,6.6,23,19,16,Defisiensi_K,Tambah KCl Susulan III,0,0,75,110,6.0,25
217,Tomohon,NK Perkasa,Andosol,Lempung,2.8,178,28,38.0,15.0,15.0,56,Generatif,6.1,29,22,22,Seimbang,Pertahankan Kondisi,0,0,0,110,7.6,54
218,Kauditan,Pertiwi,Andosol,Pasir,2.6,201,27,0.0,0.0,0.0,14,Vegetatif Awal,6.6,15,10,18,Defisiensi_N,Tambah Urea Susulan I,100,0,0,105,5.8,91
219,Tomohon,Pioneer Sweet Corn,Latosol,Lempung,2.5,250,28,38.0,15.0,15.0,46,Vegetatif Aktif,6.5,21,19,25,Seimbang,Pertahankan Kondisi,0,0,0,90,6.8,44
220,Langowan,NK Perkasa,Regosol,Pasir,0.6,155,26,0.0,0.0,0.0,20,Vegetatif Awal,6.6,14,12,17,Defisiensi_N,Tambah Urea Susulan I,100,0,0,110,5.0,90
221,Tondano Selatan,Bisi 2,Regosol,Lempung Berpasir,0.9,206,28,38.0,15.0,15.0,13,Vegetatif Awal,6.4,24,17,15,Seimbang,Pertahankan Kondisi,0,0,0,115,6.9,102
222,Kauditan,NK Perkasa,Regosol,Pasir,2.8,150,28,23.0,0.0,0.0,44,Vegetatif Aktif,6.2,22,13,20,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,110,5.9,66
223,Tombulu,Pioneer Sweet Corn,Latosol,Lempung Berpasir,1.7,186,28,15.0,15.0,15.0,69,Generatif,5.9,26,18,25,Seimbang,Pertahankan Kondisi,0,0,0,90,5.9,21
224,Tondano Utara,NK Perkasa,Regosol,Pasir,1.8,241,26,0.0,0.0,0.0,32,Vegetatif Aktif,6.6,19,17,20,Seimbang,Pertahankan Kondisi,0,0,0,110,5.0,78
225,Tondano Selatan,Bisi 2,Regosol,Pasir,2.0,230,26,38.0,15.0,15.0,44,Vegetatif Aktif,6.6,23,16,15,Seimbang,Pertahankan Kondisi,0,0,0,115,6.7,71
226,Airmadidi,NK Perkasa,Andosol,Lempung,1.8,158,28,15.0,15.0,15.0,48,Vegetatif Aktif,6.8,26,20,26,Seimbang,Pertahankan Kondisi,0,0,0,110,6.7,62
227,Langowan,Pertiwi,Andosol,Pasir,2.9,204,26,15.0,15.0,15.0,42,Vegetatif Aktif,5.8,15,26,14,Seimbang,Pertahankan Kondisi,0,0,0,105,6.7,63
228,Kauditan,Pioneer Sweet Corn,Latosol,Lempung,1.9,172,29,38.0,15.0,15.0,84,Generatif,5.9,30,25,23,Seimbang,Pertahankan Kondisi,0,0,0,90,6.9,6
229,Tondano Selatan,Pertiwi,Andosol,Pasir,2.7,248,27,38.0,15.0,15.0,85,Generatif,5.9,28,15,18,Seimbang,Pertahankan Kondisi,0,0,0,105,7.6,20
230,Tomohon,NK Perkasa,Regosol,Lempung Berpasir,1.3,249,27,15.0,15.0,15.0,17,Vegetatif Awal,5.8,19,26,16,Defisiensi_N,Tambah Urea Susulan I,100,0,0,110,6.0,93
231,Sonder,NK Perkasa,Andosol,Lempung,0.8,228,26,15.0,15.0,15.0,85,Generatif,6.0,29,23,21,Seimbang,Pertahankan Kondisi,0,0,0,110,6.6,25
232,Sonder,NK Perkasa,Regosol,Pasir,1.0,170,27,23.0,0.0,0.0,58,Generatif,6.7,22,15,16,Defisiensi_K,Tambah KCl Susulan III,0,0,75,110,5.9,52
233,Airmadidi,Pioneer Sweet Corn,Latosol,Lempung,0.7,222,30,15.0,15.0,15.0,21,Vegetatif Awal,6.4,18,17,19,Defisiensi_N,Tambah Urea Susulan I,100,0,0,90,5.9,69
234,Sonder,Pioneer Sweet Corn,Latosol,Lempung Berpasir,1.7,249,28,15.0,15.0,15.0,74,Generatif,5.9,23,25,16,Defisiensi_K,Tambah KCl Susulan III,0,0,75,90,5.9,16
235,Tomohon,Pioneer Sweet Corn,Latosol,Lempung,1.0,172,30,23.0,0.0,0.0,39,Vegetatif Aktif,5.6,16,9,17,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,90,5.9,51
236,Kauditan,NK Perkasa,Regosol,Pasir,1.2,234,31,15.0,15.0,15.0,14,Vegetatif Awal,6.1,20,14,22,Seimbang,Pertahankan Kondisi,0,0,0,110,5.8,96
237,Tondano Selatan,Pertiwi,Andosol,Lempung,2.5,164,31,38.0,15.0,15.0,13,Vegetatif Awal,6.0,25,25,23,Seimbang,Pertahankan Kondisi,0,0,0,105,7.7,92
238,Tomohon,NK Perkasa,Regosol,Pasir,0.8,170,26,38.0,15.0,15.0,15,Vegetatif Awal,6.3,29,22,24,Seimbang,Pertahankan Kondisi,0,0,0,110,6.8,95
239,Kauditan,Pertiwi,Andosol,Lempung,1.0,213,29,38.0,15.0,15.0,41,Vegetatif Aktif,5.5,23,20,16,Seimbang,Pertahankan Kondisi,0,0,0,105,7.6,64
240,Tombulu,Pioneer Sweet Corn,Latosol,Lempung Berpasir,0.6,172,29,23.0,0.0,0.0,67,Generatif,5.6,24,15,14,Defisiensi_K,Tambah KCl Susulan III,0,0,75,90,5.9,23
241,Langowan,Pioneer Sweet Corn,Latosol,Lempung,1.8,193,27,23.0,0.0,0.0,59,Generatif,6.3,17,19,18,Seimbang,Pertahankan Kondisi,0,0,0,90,5.9,31
242,Sonder,NK Perkasa,Andosol,Lempung,1.9,159,27,23.0,0.0,0.0,48,Vegetatif Aktif,5.9,31,14,18,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,110,6.7,62
243,Tondano Selatan,Bisi 2,Regosol,Lempung Berpasir,1.4,184,31,0.0,0.0,0.0,71,Generatif,6.4,10,17,16,Defisiensi_K,Tambah KCl Susulan III,0,0,75,115,5.0,44
244,Airmadidi,NK Perkasa,Regosol,Lempung Berpasir,0.7,184,28,0.0,0.0,0.0,38,Vegetatif Aktif,6.0,21,18,22,Seimbang,Pertahankan Kondisi,0,0,0,110,5.1,72
245,Langowan,Pioneer Sweet Corn,Latosol,Lempung Berpasir,2.2,204,26,0.0,0.0,0.0,24,Vegetatif Awal,6.3,21,12,12,Seimbang,Pertahankan Kondisi,0,0,0,90,4.9,66
246,Langowan,NK Perkasa,Regosol,Lempung Berpasir,1.3,173,28,38.0,15.0,15.0,70,Generatif,6.7,31,16,16,Defisiensi_K,Tambah KCl Susulan III,0,0,75,110,6.9,40
247,Tondano Selatan,Bisi 2,Latosol,Lempung Berpasir,2.4,153,28,23.0,0.0,0.0,60,Generatif,5.6,26,19,22,Seimbang,Pertahankan Kondisi,0,0,0,115,5.9,55
248,Langowan,Pertiwi,Andosol,Lempung,1.0,246,30,38.0,15.0,15.0,45,Vegetatif Aktif,5.7,24,14,14,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,105,7.6,60
249,Airmadidi,Bisi 2,Regosol,Lempung Berpasir,2.9,193,31,0.0,0.0,0.0,10,Vegetatif Awal,6.5,20,19,13,Seimbang,Pertahankan Kondisi,0,0,0,115,5.0,105
250,Tomohon,NK Perkasa,Regosol,Lempung Berpasir,1.0,223,26,0.0,0.0,0.0,82,Generatif,6.2,11,19,20,Seimbang,Pertahankan Kondisi,0,0,0,110,5.0,28
251,Sonder,NK Perkasa,Andosol,Lempung,1.0,163,31,23.0,0.0,0.0,84,Generatif,6.2,24,19,21,Seimbang,Pertahankan Kondisi,0,0,0,110,6.7,26
252,Tondano Selatan,NK Perkasa,Regosol,Pasir,2.2,199,29,0.0,0.0,0.0,84,Generatif,6.7,13,12,15,Defisiensi_K,Tambah KCl Susulan III,0,0,75,110,5.1,26
253,Sonder,Pioneer Sweet Corn,Latosol,Lempung Berpasir,2.8,242,31,15.0,15.0,15.0,16,Vegetatif Awal,6.8,26,22,20,Seimbang,Pertahankan Kondisi,0,0,0,90,5.8,74
254,Tombulu,Pioneer Sweet Corn,Latosol,Lempung,2.2,172,30,0.0,0.0,0.0,47,Vegetatif Aktif,6.3,10,14,18,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,90,5.0,43
255,Tombulu,Pertiwi,Andosol,Lempung,1.0,192,28,38.0,15.0,15.0,15,Vegetatif Awal,5.8,32,16,16,Seimbang,Pertahankan Kondisi,0,0,0,105,7.7,90
256,Kauditan,NK Perkasa,Regosol,Pasir,1.7,222,28,0.0,0.0,0.0,72,Generatif,6.6,13,19,15,Defisiensi_K,Tambah KCl Susulan III,0,0,75,110,5.1,38
257,Airmadidi,Pioneer Sweet Corn,Latosol,Lempung,1.5,177,27,23.0,0.0,0.0,47,Vegetatif Aktif,5.9,20,11,17,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,90,5.8,43
258,Kauditan,Pioneer Sweet Corn,Latosol,Lempung,2.1,167,29,15.0,15.0,15.0,80,Generatif,6.0,22,14,22,Seimbang,Pertahankan Kondisi,0,0,0,90,5.8,10
259,Tondano Selatan,Bisi 2,Regosol,Lempung Berpasir,2.9,181,26,15.0,15.0,15.0,18,Vegetatif Awal,6.5,24,21,17,Seimbang,Pertahankan Kondisi,0,0,0,115,5.9,97
260,Langowan,Pertiwi,Andosol,Lempung,2.7,249,31,15.0,15.0,15.0,14,Vegetatif Awal,6.7,29,19,22,Seimbang,Pertahankan Kondisi,0,0,0,105,6.8,91
261,Tondano Selatan,Pertiwi,Andosol,Pasir,2.0,234,27,0.0,0.0,0.0,18,Vegetatif Awal,6.7,16,18,18,Defisiensi_N,Tambah Urea Susulan I,100,0,0,105,5.9,87
262,Sonder,NK Perkasa,Andosol,Pasir,0.8,176,31,15.0,15.0,15.0,39,Vegetatif Aktif,6.7,28,18,21,Seimbang,Pertahankan Kondisi,0,0,0,110,6.8,71
263,Langowan,Pertiwi,Andosol,Pasir,1.9,168,29,0.0,0.0,0.0,30,Vegetatif Aktif,6.0,11,20,22,Seimbang,Pertahankan Kondisi,0,0,0,105,5.8,75
264,Airmadidi,NK Perkasa,Regosol,Lempung Berpasir,2.1,185,29,15.0,15.0,15.0,83,Generatif,6.3,25,17,25,Seimbang,Pertahankan Kondisi,0,0,0,110,5.8,27
265,Kauditan,Pertiwi,Andosol,Pasir,1.7,245,28,23.0,0.0,0.0,65,Generatif,6.7,20,16,16,Defisiensi_K,Tambah KCl Susulan III,0,0,75,105,6.8,40
