id,kecamatan,varietas,jenis_tanah,tekstur,luas_lahan,curah_hujan,suhu,total_n_dasar,total_p_dasar,total_k_dasar,umur_hst,fase_tanaman,ph,n_ppm,p_ppm,k_ppm,status_hara,rekomendasi_tindakan,dosis_urea_susulan,dosis_sp36_susulan,dosis_kcl_susulan,total_umur_panen,hasil_panen_estimasi
135,Kauditan,Pertiwi,Regosol,Pasir,0.9,162,31,0.0,0.0,0.0,46,Vegetatif Aktif,6.6,23,16,18,Seimbang,Pertahankan Kondisi,0,0,0,105,4.8
136,Kauditan,NK Perkasa,Andosol,Pasir,2.5,150,28,0.0,0.0,0.0,18,Vegetatif Awal,5.5,10,18,22,Defisiensi_N,Tambah Urea Susulan I,100,0,0,110,5.8
137,Tondano Selatan,Pioneer Sweet Corn,Latosol,Lempung Berpasir,2.2,176,27,38.0,15.0,15.0,77,Generatif,6.4,25,21,24,Seimbang,Pertahankan Kondisi,0,0,0,90,5.5
138,Langowan,Bisi 2,Regosol,Lempung Berpasir,1.9,236,26,23.0,0.0,0.0,40,Vegetatif Aktif,6.4,23,12,19,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,115,5.3
139,Tondano Selatan,NK Perkasa,Regosol,Lempung Berpasir,1.3,203,29,0.0,0.0,0.0,27,Vegetatif Aktif,6.5,17,14,12,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,110,4.7
140,Sonder,NK Perkasa,Latosol,Lempung,2.5,211,26,15.0,15.0,15.0,66,Generatif,6.0,19,17,18,Seimbang,Pertahankan Kondisi,0,0,0,110,5.1
141,Kauditan,Pioneer Sweet Corn,Latosol,Lempung Berpasir,2.9,206,31,23.0,0.0,0.0,29,Vegetatif Aktif,6.6,16,12,19,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,90,4.9
142,Tondano Selatan,Pertiwi,Andosol,Lempung,0.8,191,30,15.0,15.0,15.0,21,Vegetatif Awal,6.6,25,14,14,Seimbang,Pertahankan Kondisi,0,0,0,105,5.4
143,Langowan,Pioneer Sweet Corn,Regosol,Pasir,2.5,216,29,23.0,0.0,0.0,35,Vegetatif Aktif,6.2,22,15,22,Seimbang,Pertahankan Kondisi,0,0,0,90,5.7
144,Tomohon,Bisi 2,Regosol,Pasir,2.7,173,27,38.0,15.0,15.0,19,Vegetatif Awal,6.5,27,25,22,Seimbang,Pertahankan Kondisi,0,0,0,115,5.6
145,Langowan,Pertiwi,Regosol,Pasir,0.7,244,30,38.0,15.0,15.0,68,Generatif,6.3,31,17,19,Seimbang,Pertahankan Kondisi,0,0,0,105,5.4
146,Sonder,Pertiwi,Regosol,Lempung Berpasir,1.9,213,31,38.0,15.0,15.0,25,Vegetatif Awal,6.7,25,17,23,Seimbang,Pertahankan Kondisi,0,0,0,105,5.4
147,Langowan,Pertiwi,Regosol,Pasir,2.9,243,28,38.0,15.0,15.0,75,Generatif,5.9,27,18,16,Defisiensi_K,Tambah KCl Susulan III,0,0,75,105,5.2
148,Tombulu,NK Perkasa,Regosol,Pasir,0.6,226,27,38.0,15.0,15.0,49,Vegetatif Aktif,6.2,32,20,24,Seimbang,Pertahankan Kondisi,0,0,0,110,5.2
149,Kauditan,NK Perkasa,Andosol,Lempung,2.3,166,29,23.0,0.0,0.0,41,Vegetatif Aktif,6.1,22,14,11,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,110,5.6
150,Kauditan,Pertiwi,Regosol,Pasir,1.9,155,27,15.0,15.0,15.0,73,Generatif,6.1,27,25,16,Defisiensi_K,Tambah KCl Susulan III,0,0,75,105,5.1
151,Kauditan,Bisi 2,Andosol,Lempung,1.1,237,29,15.0,15.0,15.0,17,Vegetatif Awal,6.1,25,17,18,Seimbang,Pertahankan Kondisi,0,0,0,115,6.0
152,Langowan,Bisi 2,Latosol,Lempung Berpasir,2.4,198,27,23.0,0.0,0.0,60,Generatif,6.0,17,12,15,Defisiensi_K,Tambah KCl Susulan III,0,0,75,115,5.5
153,Tondano Selatan,NK Perkasa,Latosol,Lempung,2.5,207,30,15.0,15.0,15.0,71,Generatif,6.0,25,20,19,Seimbang,Pertahankan Kondisi,0,0,0,110,5.6
154,Tomohon,Bisi 2,Andosol,Pasir,2.2,245,26,15.0,15.0,15.0,81,Generatif,5.6,27,15,25,Seimbang,Pertahankan Kondisi,0,0,0,115,6.0
155,Airmadidi,NK Perkasa,Latosol,Lempung,0.9,248,31,15.0,15.0,15.0,45,Vegetatif Aktif,6.6,23,23,23,Seimbang,Pertahankan Kondisi,0,0,0,110,4.7
156,Tombulu,NK Perkasa,Latosol,Lempung,2.5,182,27,23.0,0.0,0.0,48,Vegetatif Aktif,6.4,18,13,15,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,110,5.2
157,Tombulu,Bisi 2,Regosol,Pasir,0.8,222,29,38.0,15.0,15.0,50,Vegetatif Aktif,6.4,35,25,23,Seimbang,Pertahankan Kondisi,0,0,0,115,6.0
158,Kauditan,Pertiwi,Regosol,Pasir,2.6,195,29,15.0,15.0,15.0,13,Vegetatif Awal,6.6,19,26,22,Defisiensi_N,Tambah Urea Susulan I,100,0,0,105,4.8
159,Sonder,Pertiwi,Latosol,Lempung Berpasir,1.1,214,31,0.0,0.0,0.0,64,Generatif,6.4,16,12,10,Defisiensi_K,Tambah KCl Susulan III,0,0,75,105,5.3
160,Langowan,Pertiwi,Regosol,Lempung Berpasir,2.8,178,27,15.0,15.0,15.0,16,Vegetatif Awal,6.7,16,15,21,Defisiensi_N,Tambah Urea Susulan I,100,0,0,105,5.5
161,Tomohon,Bisi 2,Regosol,Lempung Berpasir,1.7,192,29,0.0,0.0,0.0,35,Vegetatif Aktif,5.8,13,8,17,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,115,4.6
162,Tondano Selatan,Bisi 2,Latosol,Lempung Berpasir,2.6,192,26,38.0,15.0,15.0,19,Vegetatif Awal,6.2,25,17,23,Seimbang,Pertahankan Kondisi,0,0,0,115,6.0
163,Kauditan,Bisi 2,Latosol,Lempung,0.9,192,30,38.0,15.0,15.0,50,Vegetatif Aktif,5.7,24,26,23,Seimbang,Pertahankan Kondisi,0,0,0,115,5.9
164,Airmadidi,Pioneer Sweet Corn,Latosol,Lempung,2.8,185,28,23.0,0.0,0.0,49,Vegetatif Aktif,6.7,18,17,22,Seimbang,Pertahankan Kondisi,0,0,0,90,5.3
165,Sonder,NK Perkasa,Latosol,Lempung,2.0,223,26,0.0,0.0,0.0,24,Vegetatif Awal,5.8,14,8,12,Defisiensi_N,Tambah Urea Susulan I,100,0,0,110,4.5
166,Langowan,Pioneer Sweet Corn,Andosol,Lempung,0.8,180,30,38.0,15.0,15.0,27,Vegetatif Aktif,6.7,36,22,22,Seimbang,Pertahankan Kondisi,0,0,0,90,6.5
167,Sonder,Bisi 2,Andosol,Lempung,2.3,195,29,15.0,15.0,15.0,72,Generatif,5.9,26,20,19,Seimbang,Pertahankan Kondisi,0,0,0,115,5.8
168,Tomohon,Bisi 2,Andosol,Pasir,0.8,209,27,15.0,15.0,15.0,26,Vegetatif Aktif,6.4,20,23,21,Seimbang,Pertahankan Kondisi,0,0,0,115,6.3
169,Tondano Selatan,Pioneer Sweet Corn,Latosol,Lempung,1.4,233,29,38.0,15.0,15.0,52,Vegetatif Aktif,5.5,25,19,23,Seimbang,Pertahankan Kondisi,0,0,0,90,5.5
170,Kauditan,NK Perkasa,Andosol,Lempung,1.1,150,29,15.0,15.0,15.0,55,Vegetatif Aktif,6.2,26,26,16,Seimbang,Pertahankan Kondisi,0,0,0,110,6.1
171,Tondano Utara,Pioneer Sweet Corn,Latosol,Lempung,2.2,204,27,23.0,0.0,0.0,52,Vegetatif Aktif,6.7,31,17,12,Seimbang,Pertahankan Kondisi,0,0,0,90,5.7
172,Tondano Utara,NK Perkasa,Latosol,Lempung,3.0,249,27,0.0,0.0,0.0,23,Vegetatif Awal,6.7,14,20,16,Defisiensi_N,Tambah Urea Susulan I,100,0,0,110,5.0
173,Airmadidi,Pioneer Sweet Corn,Regosol,Pasir,1.1,153,28,0.0,0.0,0.0,46,Vegetatif Aktif,6.7,24,20,17,Seimbang,Pertahankan Kondisi,0,0,0,90,5.0
174,Tomohon,NK Perkasa,Regosol,Pasir,2.8,170,29,15.0,15.0,15.0,17,Vegetatif Awal,5.8,20,17,22,Seimbang,Pertahankan Kondisi,0,0,0,110,4.9
175,Kauditan,Pertiwi,Regosol,Lempung Berpasir,0.8,161,30,0.0,0.0,0.0,52,Vegetatif Aktif,6.8,24,11,20,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,105,4.7
176,Sonder,NK Perkasa,Andosol,Lempung,2.8,188,26,38.0,15.0,15.0,84,Generatif,6.1,22,14,23,Seimbang,Pertahankan Kondisi,0,0,0,110,6.0
177,Langowan,Pertiwi,Regosol,Lempung Berpasir,1.7,165,31,38.0,15.0,15.0,83,Generatif,6.3,34,17,21,Seimbang,Pertahankan Kondisi,0,0,0,105,5.6
178,Tombulu,Pertiwi,Latosol,Lempung,2.3,173,31,38.0,15.0,15.0,34,Vegetatif Aktif,6.0,32,20,22,Seimbang,Pertahankan Kondisi,0,0,0,105,5.1
179,Tombulu,Bisi 2,Regosol,Pasir,1.6,246,26,0.0,0.0,0.0,11,Vegetatif Awal,6.3,23,16,22,Seimbang,Pertahankan Kondisi,0,0,0,115,5.0
180,Langowan,Pioneer Sweet Corn,Regosol,Pasir,1.0,205,31,15.0,15.0,15.0,14,Vegetatif Awal,6.0,27,17,19,Seimbang,Pertahankan Kondisi,0,0,0,90,5.4
181,Airmadidi,NK Perkasa,Latosol,Lempung Berpasir,1.7,203,29,38.0,15.0,15.0,23,Vegetatif Awal,5.6,29,18,20,Seimbang,Pertahankan Kondisi,0,0,0,110,5.9
182,Tondano Utara,Bisi 2,Regosol,Lempung Berpasir,2.9,242,28,0.0,0.0,0.0,79,Generatif,6.0,17,20,13,Defisiensi_K,Tambah KCl Susulan III,0,0,75,115,4.5
183,Tombulu,Pertiwi,Latosol,Lempung Berpasir,0.9,225,29,38.0,15.0,15.0,28,Vegetatif Aktif,5.7,21,20,20,Seimbang,Pertahankan Kondisi,0,0,0,105,5.9
184,Tondano Selatan,NK Perkasa,Andosol,Lempung,0.9,197,27,0.0,0.0,0.0,67,Generatif,6.6,21,8,18,Seimbang,Pertahankan Kondisi,0,0,0,110,5.4
185,Kauditan,Pioneer Sweet Corn,Andosol,Pasir,2.4,225,30,38.0,15.0,15.0,68,Generatif,6.1,30,14,15,Defisiensi_K,Tambah KCl Susulan III,0,0,75,90,5.9
186,Sonder,Bisi 2,Latosol,Lempung,2.5,173,27,15.0,15.0,15.0,53,Vegetatif Aktif,6.5,18,19,24,Seimbang,Pertahankan Kondisi,0,0,0,115,5.5
187,Tomohon,NK Perkasa,Latosol,Lempung,2.2,151,31,0.0,0.0,0.0,60,Generatif,5.6,18,8,16,Defisiensi_K,Tambah KCl Susulan III,0,0,75,110,5.0
188,Tomohon,Pertiwi,Regosol,Lempung Berpasir,0.9,234,28,23.0,0.0,0.0,23,Vegetatif Awal,6.0,19,20,14,Defisiensi_N,Tambah Urea Susulan I,100,0,0,105,4.9
189,Tombulu,Pertiwi,Regosol,Pasir,1.6,150,31,38.0,15.0,15.0,63,Generatif,6.4,29,24,15,Defisiensi_K,Tambah KCl Susulan III,0,0,75,105,5.1
190,Langowan,NK Perkasa,Andosol,Pasir,1.0,217,29,0.0,0.0,0.0,26,Vegetatif Aktif,6.6,22,15,10,Seimbang,Pertahankan Kondisi,0,0,0,110,5.5
191,Tombulu,Pertiwi,Latosol,Lempung,1.2,239,31,0.0,0.0,0.0,19,Vegetatif Awal,6.6,22,20,10,Seimbang,Pertahankan Kondisi,0,0,0,105,4.4
192,Tondano Selatan,Pioneer Sweet Corn,Andosol,Lempung,2.3,201,28,0.0,0.0,0.0,66,Generatif,6.5,16,17,22,Seimbang,Pertahankan Kondisi,0,0,0,90,5.8
193,Tomohon,Pioneer Sweet Corn,Latosol,Lempung,2.3,241,29,38.0,15.0,15.0,59,Generatif,6.2,36,24,15,Defisiensi_K,Tambah KCl Susulan III,0,0,75,90,5.2
194,Tondano Selatan,Pertiwi,Regosol,Pasir,1.3,220,29,23.0,0.0,0.0,62,Generatif,6.6,31,10,22,Seimbang,Pertahankan Kondisi,0,0,0,105,5.0
195,Tomohon,NK Perkasa,Latosol,Lempung Berpasir,1.6,150,27,38.0,15.0,15.0,38,Vegetatif Aktif,5.6,31,23,24,Seimbang,Pertahankan Kondisi,0,0,0,110,5.6
196,Langowan,Pertiwi,Latosol,Lempung,2.5,154,31,0.0,0.0,0.0,78,Generatif,6.7,20,10,16,Defisiensi_K,Tambah KCl Susulan III,0,0,75,105,4.6
197,Langowan,Pioneer Sweet Corn,Regosol,Lempung Berpasir,0.8,220,28,23.0,0.0,0.0,63,Generatif,5.8,25,10,13,Defisiensi_K,Tambah KCl Susulan III,0,0,75,90,5.5
198,Tondano Selatan,Bisi 2,Andosol,Lempung,1.3,193,31,0.0,0.0,0.0,71,Generatif,6.7,22,8,12,Defisiensi_K,Tambah KCl Susulan III,0,0,75,115,5.5
199,Kauditan,Bisi 2,Regosol,Pasir,2.7,197,28,38.0,15.0,15.0,22,Vegetatif Awal,5.8,29,23,21,Seimbang,Pertahankan Kondisi,0,0,0,115,6.0
200,Tombulu,NK Perkasa,Regosol,Pasir,3.0,224,31,38.0,15.0,15.0,43,Vegetatif Aktif,6.3,33,23,18,Seimbang,Pertahankan Kondisi,0,0,0,110,5.6
201,Tondano Selatan,Bisi 2,Regosol,Pasir,1.9,235,31,23.0,0.0,0.0,29,Vegetatif Aktif,6.7,30,16,20,Seimbang,Pertahankan Kondisi,0,0,0,115,5.5
202,Langowan,Pertiwi,Latosol,Lempung Berpasir,2.6,178,30,0.0,0.0,0.0,10,Vegetatif Awal,6.6,19,19,17,Defisiensi_N,Tambah Urea Susulan I,100,0,0,105,4.7
203,Airmadidi,Pioneer Sweet Corn,Regosol,Lempung Berpasir,0.9,173,27,0.0,0.0,0.0,46,Vegetatif Aktif,5.8,14,16,17,Seimbang,Pertahankan Kondisi,0,0,0,90,4.6
204,Tondano Selatan,Bisi 2,Latosol,Lempung,2.3,225,31,15.0,15.0,15.0,31,Vegetatif Aktif,5.5,26,25,17,Seimbang,Pertahankan Kondisi,0,0,0,115,4.8
205,Langowan,NK Perkasa,Andosol,Pasir,2.7,160,30,15.0,15.0,15.0,13,Vegetatif Awal,6.0,19,25,20,Defisiensi_N,Tambah Urea Susulan I,100,0,0,110,5.9
206,Langowan,Pertiwi,Regosol,Lempung Berpasir,0.6,152,26,23.0,0.0,0.0,75,Generatif,6.3,27,18,17,Defisiensi_K,Tambah KCl Susulan III,0,0,75,105,4.8
207,Langowan,Bisi 2,Latosol,Lempung,1.1,191,31,15.0,15.0,15.0,18,Vegetatif Awal,5.5,26,16,14,Seimbang,Pertahankan Kondisi,0,0,0,115,5.4
208,Sonder,NK Perkasa,Latosol,Lempung,1.7,240,31,0.0,0.0,0.0,84,Generatif,5.9,15,18,20,Seimbang,Pertahankan Kondisi,0,0,0,110,5.2
209,Sonder,Pertiwi,Latosol,Lempung,3.0,214,31,38.0,15.0,15.0,75,Generatif,5.9,34,20,18,Seimbang,Pertahankan Kondisi,0,0,0,105,5.4
210,Kauditan,Bisi 2,Andosol,Lempung,0.8,225,31,38.0,15.0,15.0,15,Vegetatif Awal,6.6,27,23,19,Seimbang,Pertahankan Kondisi,0,0,0,115,6.0
211,Tondano Selatan,Pioneer Sweet Corn,Andosol,Pasir,1.2,189,31,38.0,15.0,15.0,29,Vegetatif Aktif,6.6,31,25,24,Seimbang,Pertahankan Kondisi,0,0,0,90,6.6
212,Tombulu,NK Perkasa,Regosol,Pasir,1.9,211,31,15.0,15.0,15.0,63,Generatif,6.4,15,20,23,Seimbang,Pertahankan Kondisi,0,0,0,110,4.7
213,Airmadidi,Bisi 2,Andosol,Lempung,1.0,174,26,0.0,0.0,0.0,63,Generatif,5.7,10,16,14,Defisiensi_K,Tambah KCl Susulan III,0,0,75,115,5.1
214,Kauditan,Bisi 2,Regosol,Lempung Berpasir,1.9,152,28,15.0,15.0,15.0,53,Vegetatif Aktif,5.6,26,24,24,Seimbang,Pertahankan Kondisi,0,0,0,115,5.2
215,Tondano Selatan,Pioneer Sweet Corn,Andosol,Pasir,1.4,227,31,15.0,15.0,15.0,74,Generatif,5.7,22,18,26,Seimbang,Pertahankan Kondisi,0,0,0,90,5.5
216,Tondano Selatan,NK Perkasa,Regosol,Lempung Berpasir,0.6,198,26,15.0,15.0,15.0,85,Generatif,6.6,23,19,16,Defisiensi_K,Tambah KCl Susulan III,0,0,75,110,5.0
217,Tomohon,Pioneer Sweet Corn,Andosol,Lempung,2.8,178,28,38.0,15.0,15.0,56,Generatif,6.1,29,22,22,Seimbang,Pertahankan Kondisi,0,0,0,90,5.9
218,Kauditan,Pioneer Sweet Corn,Andosol,Pasir,2.6,201,27,0.0,0.0,0.0,14,Vegetatif Awal,6.6,15,10,18,Defisiensi_N,Tambah Urea Susulan I,100,0,0,90,5.5
219,Tomohon,Bisi 2,Latosol,Lempung,2.5,250,28,38.0,15.0,15.0,46,Vegetatif Aktif,6.5,21,19,25,Seimbang,Pertahankan Kondisi,0,0,0,115,5.4
220,Langowan,Pertiwi,Regosol,Pasir,0.6,155,26,0.0,0.0,0.0,20,Vegetatif Awal,6.6,14,12,17,Defisiensi_N,Tambah Urea Susulan I,100,0,0,105,4.8
221,Tondano Selatan,Bisi 2,Regosol,Lempung Berpasir,0.9,206,28,38.0,15.0,15.0,13,Vegetatif Awal,6.4,24,17,15,Seimbang,Pertahankan Kondisi,0,0,0,115,5.7
222,Kauditan,Pioneer Sweet Corn,Regosol,Pasir,2.8,150,28,23.0,0.0,0.0,44,Vegetatif Aktif,6.2,22,13,20,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,90,5.3
223,Tombulu,Bisi 2,Latosol,Lempung Berpasir,1.7,186,28,15.0,15.0,15.0,69,Generatif,5.9,26,18,25,Seimbang,Pertahankan Kondisi,0,0,0,115,4.7
224,Tondano Utara,Bisi 2,Regosol,Pasir,1.8,241,26,0.0,0.0,0.0,32,Vegetatif Aktif,6.6,19,17,20,Seimbang,Pertahankan Kondisi,0,0,0,115,4.6
225,Tondano Selatan,Pertiwi,Regosol,Pasir,2.0,230,26,38.0,15.0,15.0,44,Vegetatif Aktif,6.6,23,16,15,Seimbang,Pertahankan Kondisi,0,0,0,105,5.5
226,Airmadidi,Bisi 2,Andosol,Lempung,1.8,158,28,15.0,15.0,15.0,48,Vegetatif Aktif,6.8,26,20,26,Seimbang,Pertahankan Kondisi,0,0,0,115,5.8
227,Langowan,Bisi 2,Andosol,Pasir,2.9,204,26,15.0,15.0,15.0,42,Vegetatif Aktif,5.8,15,26,14,Seimbang,Pertahankan Kondisi,0,0,0,115,6.2
228,Kauditan,Pioneer Sweet Corn,Latosol,Lempung,1.9,172,29,38.0,15.0,15.0,84,Generatif,5.9,30,25,23,Seimbang,Pertahankan Kondisi,0,0,0,90,5.6
229,Tondano Selatan,NK Perkasa,Andosol,Pasir,2.7,248,27,38.0,15.0,15.0,85,Generatif,5.9,28,15,18,Seimbang,Pertahankan Kondisi,0,0,0,110,6.2
230,Tomohon,Pioneer Sweet Corn,Regosol,Lempung Berpasir,1.3,249,27,15.0,15.0,15.0,17,Vegetatif Awal,5.8,19,26,16,Defisiensi_N,Tambah Urea Susulan I,100,0,0,90,5.2
231,Sonder,Pioneer Sweet Corn,Andosol,Lempung,0.8,228,26,15.0,15.0,15.0,85,Generatif,6.0,29,23,21,Seimbang,Pertahankan Kondisi,0,0,0,90,5.3
232,Sonder,Pertiwi,Regosol,Pasir,1.0,170,27,23.0,0.0,0.0,58,Generatif,6.7,22,15,16,Defisiensi_K,Tambah KCl Susulan III,0,0,75,105,5.1
233,Airmadidi,Pioneer Sweet Corn,Latosol,Lempung,0.7,222,30,15.0,15.0,15.0,21,Vegetatif Awal,6.4,18,17,19,Defisiensi_N,Tambah Urea Susulan I,100,0,0,90,5.4
234,Sonder,Bisi 2,Latosol,Lempung Berpasir,1.7,249,28,15.0,15.0,15.0,74,Generatif,5.9,23,25,16,Defisiensi_K,Tambah KCl Susulan III,0,0,75,115,4.8
235,Tomohon,Pertiwi,Latosol,Lempung,1.0,172,30,23.0,0.0,0.0,39,Vegetatif Aktif,5.6,16,9,17,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,105,5.6
236,Kauditan,NK Perkasa,Regosol,Pasir,1.2,234,31,15.0,15.0,15.0,14,Vegetatif Awal,6.1,20,14,22,Seimbang,Pertahankan Kondisi,0,0,0,110,4.8
237,Tondano Selatan,Pioneer Sweet Corn,Andosol,Lempung,2.5,164,31,38.0,15.0,15.0,13,Vegetatif Awal,6.0,25,25,23,Seimbang,Pertahankan Kondisi,0,0,0,90,6.3
238,Tomohon,Bisi 2,Regosol,Pasir,0.8,170,26,38.0,15.0,15.0,15,Vegetatif Awal,6.3,29,22,24,Seimbang,Pertahankan Kondisi,0,0,0,115,5.6
239,Kauditan,Pioneer Sweet Corn,Andosol,Lempung,1.0,213,29,38.0,15.0,15.0,41,Vegetatif Aktif,5.5,23,20,16,Seimbang,Pertahankan Kondisi,0,0,0,90,6.1
240,Tombulu,NK Perkasa,Latosol,Lempung Berpasir,0.6,172,29,23.0,0.0,0.0,67,Generatif,5.6,24,15,14,Defisiensi_K,Tambah KCl Susulan III,0,0,75,110,5.3
241,Langowan,Pioneer Sweet Corn,Latosol,Lempung,1.8,193,27,23.0,0.0,0.0,59,Generatif,6.3,17,19,18,Seimbang,Pertahankan Kondisi,0,0,0,90,5.2
242,Sonder,NK Perkasa,Andosol,Lempung,1.9,159,27,23.0,0.0,0.0,48,Vegetatif Aktif,5.9,31,14,18,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,110,6.4
243,Tondano Selatan,Bisi 2,Regosol,Lempung Berpasir,1.4,184,31,0.0,0.0,0.0,71,Generatif,6.4,10,17,16,Defisiensi_K,Tambah KCl Susulan III,0,0,75,115,5.2
244,Airmadidi,Pioneer Sweet Corn,Regosol,Lempung Berpasir,0.7,184,28,0.0,0.0,0.0,38,Vegetatif Aktif,6.0,21,18,22,Seimbang,Pertahankan Kondisi,0,0,0,90,4.9
245,Langowan,NK Perkasa,Latosol,Lempung Berpasir,2.2,204,26,0.0,0.0,0.0,24,Vegetatif Awal,6.3,21,12,12,Seimbang,Pertahankan Kondisi,0,0,0,110,4.5
246,Langowan,Bisi 2,Regosol,Lempung Berpasir,1.3,173,28,38.0,15.0,15.0,70,Generatif,6.7,31,16,16,Defisiensi_K,Tambah KCl Susulan III,0,0,75,115,5.3
247,Tondano Selatan,Pertiwi,Latosol,Lempung Berpasir,2.4,153,28,23.0,0.0,0.0,60,Generatif,5.6,26,19,22,Seimbang,Pertahankan Kondisi,0,0,0,105,5.1
248,Langowan,Pioneer Sweet Corn,Andosol,Lempung,1.0,246,30,38.0,15.0,15.0,45,Vegetatif Aktif,5.7,24,14,14,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,90,6.5
249,Airmadidi,Pertiwi,Regosol,Lempung Berpasir,2.9,193,31,0.0,0.0,0.0,10,Vegetatif Awal,6.5,20,19,13,Seimbang,Pertahankan Kondisi,0,0,0,105,4.5
250,Tomohon,Pioneer Sweet Corn,Regosol,Lempung Berpasir,1.0,223,26,0.0,0.0,0.0,82,Generatif,6.2,11,19,20,Seimbang,Pertahankan Kondisi,0,0,0,90,5.1
251,Sonder,Bisi 2,Andosol,Lempung,1.0,163,31,23.0,0.0,0.0,84,Generatif,6.2,24,19,21,Seimbang,Pertahankan Kondisi,0,0,0,115,5.5
252,Tondano Selatan,Pioneer Sweet Corn,Regosol,Pasir,2.2,199,29,0.0,0.0,0.0,84,Generatif,6.7,13,12,15,Defisiensi_K,Tambah KCl Susulan III,0,0,75,90,5.1
253,Sonder,NK Perkasa,Latosol,Lempung Berpasir,2.8,242,31,15.0,15.0,15.0,16,Vegetatif Awal,6.8,26,22,20,Seimbang,Pertahankan Kondisi,0,0,0,110,5.6
254,Tombulu,NK Perkasa,Latosol,Lempung,2.2,172,30,0.0,0.0,0.0,47,Vegetatif Aktif,6.3,10,14,18,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,110,5.2
255,Tombulu,Pioneer Sweet Corn,Andosol,Lempung,1.0,192,28,38.0,15.0,15.0,15,Vegetatif Awal,5.8,32,16,16,Seimbang,Pertahankan Kondisi,0,0,0,90,6.7
256,Kauditan,Pioneer Sweet Corn,Regosol,Pasir,1.7,222,28,0.0,0.0,0.0,72,Generatif,6.6,13,19,15,Defisiensi_K,Tambah KCl Susulan III,0,0,75,90,5.2
257,Airmadidi,Pioneer Sweet Corn,Latosol,Lempung,1.5,177,27,23.0,0.0,0.0,47,Vegetatif Aktif,5.9,20,11,17,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,90,4.8
258,Kauditan,Bisi 2,Latosol,Lempung,2.1,167,29,15.0,15.0,15.0,80,Generatif,6.0,22,14,22,Seimbang,Pertahankan Kondisi,0,0,0,115,5.6
259,Tondano Selatan,Bisi 2,Regosol,Lempung Berpasir,2.9,181,26,15.0,15.0,15.0,18,Vegetatif Awal,6.5,24,21,17,Seimbang,Pertahankan Kondisi,0,0,0,115,5.3
260,Langowan,NK Perkasa,Andosol,Lempung,2.7,249,31,15.0,15.0,15.0,14,Vegetatif Awal,6.7,29,19,22,Seimbang,Pertahankan Kondisi,0,0,0,110,6.0
261,Tondano Selatan,Bisi 2,Andosol,Pasir,2.0,234,27,0.0,0.0,0.0,18,Vegetatif Awal,6.7,16,18,18,Defisiensi_N,Tambah Urea Susulan I,100,0,0,115,5.4
262,Sonder,NK Perkasa,Andosol,Pasir,0.8,176,31,15.0,15.0,15.0,39,Vegetatif Aktif,6.7,28,18,21,Seimbang,Pertahankan Kondisi,0,0,0,110,5.9
263,Langowan,Pioneer Sweet Corn,Andosol,Pasir,1.9,168,29,0.0,0.0,0.0,30,Vegetatif Aktif,6.0,11,20,22,Seimbang,Pertahankan Kondisi,0,0,0,90,5.6
264,Airmadidi,Bisi 2,Regosol,Lempung Berpasir,2.1,185,29,15.0,15.0,15.0,83,Generatif,6.3,25,17,25,Seimbang,Pertahankan Kondisi,0,0,0,115,5.2
265,Kauditan,Bisi 2,Andosol,Pasir,1.7,245,28,23.0,0.0,0.0,65,Generatif,6.7,20,16,16,Defisiensi_K,Tambah KCl Susulan III,0,0,75,115,5.9
266,Tombulu,Pioneer Sweet Corn,Latosol,Lempung,2.2,232,28,15.0,15.0,15.0,65,Generatif,5.6,24,20,20,Seimbang,Pertahankan Kondisi,0,0,0,90,4.9
267,Tombulu,Pioneer Sweet Corn,Andosol,Lempung,2.5,176,29,23.0,0.0,0.0,27,Vegetatif Aktif,5.6,21,20,22,Seimbang,Pertahankan Kondisi,0,0,0,90,5.9
268,Sonder,NK Perkasa,Andosol,Lempung,2.3,206,31,0.0,0.0,0.0,72,Generatif,6.8,19,11,18,Seimbang,Pertahankan Kondisi,0,0,0,110,5.0
269,Kauditan,NK Perkasa,Andosol,Lempung,0.5,159,31,0.0,0.0,0.0,45,Vegetatif Aktif,5.6,11,15,20,Seimbang,Pertahankan Kondisi,0,0,0,110,6.0
270,Airmadidi,Bisi 2,Regosol,Pasir,1.4,185,29,23.0,0.0,0.0,14,Vegetatif Awal,5.8,24,11,21,Seimbang,Pertahankan Kondisi,0,0,0,115,4.8
271,Sonder,NK Perkasa,Latosol,Lempung Berpasir,0.8,234,30,23.0,0.0,0.0,36,Vegetatif Aktif,6.1,21,9,10,Defisiensi_P,Tambah SP36 Susulan II,0,50,0,110,5.6
